Name,Long,Lat,Freq
Ecblue04,148.6781,-22.8135,49.984
Ecblue0203,146.5,-19.2,49.984
ECCATE,145.77,-16.92,49.985
Ecgoot,152.59,-25.88,49.988
Echowa01,152.6142,-25.1843,49.988
Ecmopa02,147.25,-19.721,49.981
Ecrowe,148.77,-26.57,49.983
X831-O,153,-27,49.989
X4460-K,153.01,-27.43,49.985
X10922-E,152.96,-27.7,49.984
X18524-B,153.09,-27.25,49.984
X18755-E,152.98,-27.8,50.004
X22116-D,153.11,-27.43,49.975
X34249-F,153,-27.77,49.984
X61106-C,153.45,-28.14,49.985
X71950-A,153.36,-28.09,49.985
X94855-A,153.09,-26.4,49.98
X410035,153.02,-27.69,49.986
X412017,152.9806,-27.8206,49.986
X414042,153,-27.7,49.983
X467127,153.32,-28.09,49.985
X569910,153.32,-28.09,49.986
X742845,153.01,-27.51,49.987
X756850,153.01,-26.57,49.98
X841621,153.28,-27.88,49.988
X875286,152.96,-27.7,49.984
X876428,152.56,-27.64,49.985
X877522,152.92,-27.99,49.985
X1064388-A,152.96,-27.3,49.991
X2189666,153.07,-26.78,49.985
X2264432,153.2,-26.62,49.983
X2264597,153.22,-27.62,49.984
X2264598,153.22,-27.62,49.984
